content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,content_age_days,days_since_last_update,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,trend_pct,age_tier,age_tier_order,freshness_tier,word_count_tier,char_count_tier,impression_tier,position_tier,trend_direction,is_declining_label,is_missing_position,is_missing_keyword_context,is_missing_word_count,log_impressions_90d,log_clicks_90d,log_sessions_90d,engaged_session_ratio,click_to_session_ratio,ml_opportunity_probability,opportunity_score,priority,action,primary_reason,confidence,queue_rank
content_6aa43079fb0c,client_3fdba35f04,70.0,0.32,LOW,5.42,keyword article,informational,1457.0,9353.0,openai,gpt-4o-mini,139,104,8064,6,35,23,22,1,0,1,88,18,977,1,8,2641,2,4,0.07,3.8,4.35,2.86,0.0,-63.0,91-180,4,91-180,1000-2000,8000-15000,good,page_1,down,1,0,0,0,8.99528899055931,1.9459101490553128,3.1780538303479458,0.0434782608695652,3.8333333333333335,0.9142,80.3,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.91,11
content_13fa4570b9fc,client_3fdba35f04,10.0,0.02,LOW,0.0,keyword article,transactional,1523.0,9427.0,,gpt-4o-mini,310,104,8406,10,63,53,45,1,0,2,88,33,1137,3,18,2540,4,23,0.12,2.0,1.89,3.17,0.0,-55.2,181-365,5,91-180,1000-2000,8000-15000,good,top_3,down,1,0,0,0,9.036819971135296,2.3978952727983707,3.9889840465642745,0.0188679245283018,5.3,0.9062,79.9,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.9,12
content_c9eeaab4031e,client_19581e27de,110.0,0.11,LOW,0.67,keyword article,commercial,0.0,0.0,,,153,104,34100,7,19,18,17,1,0,6,88,15,5597,4,12,13152,1,2,0.02,6.2,5.56,31.58,0.0,-57.4,91-180,4,91-180,unknown,unknown,excellent,page_1,down,1,0,0,1,10.43708198835482,2.079441541679836,2.9444389791664403,0.0555555555555555,2.571428571428572,0.8239,79.8,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.86,13
content_72496874f806,client_4ec9599fc2,0.0,0.0,unknown,0.0,keyword article,unknown,1504.0,10770.0,,gpt-5-mini,301,301,821,2,9,6,6,0,0,0,71,6,97,0,2,125,0,0,0.24,5.8,0.0,0.0,0.0,-22.4,181-365,5,181+,1000-2000,8000-15000,moderate,page_1,down,1,0,1,0,6.71174039505618,1.0986122886681098,1.9459101490553128,0.0,3.0,0.8549,79.7,HIGH,OPTIMIZE,Observed Traffic Decline Risk,0.79,14
content_f4e210ee0c27,client_7f2253d7e2,0.0,0.0,LOW,0.0,keyword article,informational,4395.0,28348.0,,gemini-2.5-flash,224,20,24784,16,15,11,11,0,0,3,88,11,1657,2,1,6238,6,6,0.06,1.6,0.0,20.0,0.0,-73.4,181-365,5,0-30,3500+,25000+,good,top_3,down,1,0,1,0,10.117993910454674,2.833213344056216,2.4849066497880004,0.0,0.6875,0.9098,79.7,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.9,15
content_ebf51d7079e2,client_19581e27de,30.0,0.12,LOW,0.0,keyword article,transactional,3609.0,25625.0,google,gemini-2.5-flash,139,104,20696,13,30,26,26,1,0,1,88,19,2683,1,12,6431,6,10,0.06,3.8,3.85,3.33,0.0,-58.3,91-180,4,91-180,3500+,25000+,good,page_1,down,1,0,0,0,9.937744041214218,2.6390573296152584,3.295836866004329,0.0384615384615384,2.0,0.8486,79.6,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.87,16
content_4f1a280698ef,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,informational,3219.0,23564.0,google,gemini-2.5-flash,139,104,11062,7,38,37,37,0,0,0,88,16,1118,1,20,4153,3,15,0.06,4.1,0.0,0.0,0.0,-73.1,91-180,4,91-180,2000-3500,15000-25000,good,page_1,down,1,0,1,0,9.311361486034912,2.079441541679836,3.6375861597263857,0.0,5.285714285714286,0.8681,79.5,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.88,17
content_b3e76ca33ba5,client_6208ef0f77,0.0,0.0,LOW,0.0,keyword article,informational,8696.0,55275.0,,gemini-3-flash-preview,286,104,8197,2,110,80,80,0,0,12,88,26,1204,1,26,2936,0,10,0.02,13.9,0.0,10.91,0.0,-59.0,181-365,5,91-180,3500+,25000+,good,striking,down,1,0,1,0,9.011645501064285,1.0986122886681098,4.394449154672439,0.0,10.0,0.8781,79.5,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.89,18
content_e1039a455c32,client_7f2253d7e2,0.0,0.0,LOW,0.0,keyword article,informational,4266.0,28426.0,,gemini-2.5-flash,141,20,24758,37,33,28,27,0,0,10,88,22,2202,6,3,10207,15,12,0.15,19.6,0.0,30.3,0.0,-78.4,91-180,4,0-30,3500+,25000+,good,striking,down,1,0,1,0,10.116944338260794,3.6375861597263857,3.367295829986474,0.0,0.7567567567567568,0.9177,79.5,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.91,19
content_972b37f0c86d,client_19581e27de,170.0,0.0,LOW,0.0,keyword article,commercial,4074.0,30587.0,google,gemini-2.5-flash,139,104,27437,19,33,33,33,0,0,9,88,26,3373,1,16,9912,4,8,0.07,7.2,0.0,27.27,0.0,-66.0,91-180,4,91-180,3500+,25000+,good,page_1,down,1,0,0,0,10.21968419288611,2.995732273553991,3.5263605246161616,0.0,1.736842105263158,0.8241,79.5,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.86,20
content_dcb529347579,client_19581e27de,30.0,0.17,LOW,0.05,keyword article,commercial,0.0,0.0,,,257,104,12512,9,14,13,12,0,0,1,87,10,497,0,1,1629,2,6,0.07,1.9,0.0,7.14,0.0,-69.5,181-365,5,91-180,unknown,unknown,good,top_3,down,1,0,0,1,9.434523382865056,2.302585092994046,2.6390573296152584,0.0,1.4444444444444444,0.862,79.4,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.88,21
content_dd635253d90e,client_6208ef0f77,0.0,0.0,LOW,0.0,keyword article,commercial,5359.0,36748.0,google,gemini-2.5-flash,139,104,33286,5,228,194,194,0,0,23,88,29,19341,1,14,7586,1,16,0.02,4.6,0.0,10.09,0.0,155.0,91-180,4,91-180,3500+,25000+,excellent,page_1,up,0,0,1,0,10.412922209355978,1.791759469228055,5.272999558563747,0.0,10.0,0.8044,79.4,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.85,22
content_971e2a5035bc,client_6208ef0f77,0.0,0.0,LOW,0.0,keyword article,informational,5832.0,37976.0,,gemini-3-flash-preview,287,104,9179,1,69,45,45,0,0,4,88,19,409,1,17,1361,0,7,0.01,3.5,0.0,5.8,0.0,-69.9,181-365,5,91-180,3500+,25000+,good,page_1,down,1,0,1,0,9.124782483614537,0.6931471805599453,3.828641396489095,0.0,10.0,0.8667,79.3,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.88,23
content_308218aae0cb,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,informational,0.0,0.0,,,144,104,32038,11,77,72,72,3,0,28,88,28,5961,1,42,10623,6,21,0.03,6.9,4.17,36.36,0.0,-43.9,91-180,4,91-180,unknown,unknown,excellent,page_1,down,1,0,1,1,10.374709189708955,2.4849066497880004,4.290459441148391,0.0416666666666666,6.545454545454546,0.8152,79.3,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.86,24
content_81e59177b59a,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,informational,4001.0,29085.0,google,gemini-2.5-flash,139,104,9239,3,20,20,20,0,0,3,88,13,2175,1,16,2881,0,3,0.03,5.6,0.0,15.0,0.0,-24.5,91-180,4,91-180,3500+,25000+,good,page_1,down,1,0,1,0,9.131297164635727,1.3862943611198906,3.044522437723423,0.0,6.666666666666667,0.8681,79.2,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.88,25
content_87dfc063bf4e,client_19581e27de,30.0,0.09,LOW,0.14,keyword article,commercial,0.0,0.0,,,153,104,90991,72,174,159,154,7,0,39,88,63,19394,19,82,37184,28,53,0.08,4.5,4.4,22.41,0.0,-47.8,91-180,4,91-180,unknown,unknown,excellent,page_1,down,1,0,0,1,11.41852686954658,4.290459441148391,5.075173815233827,0.0440251572327044,2.208333333333333,0.7976,79.2,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.85,26
content_339b357d04c7,client_bbb965ab0c,0.0,0.0,LOW,0.0,keyword article,informational,2484.0,18526.0,google,gemini-3-flash-preview,133,15,46879,7,14,14,14,0,0,2,88,13,11407,2,3,1182,3,7,0.01,3.7,0.0,14.29,0.0,865.1,91-180,4,0-30,2000-3500,15000-25000,excellent,page_1,up,0,0,1,0,10.755346424250892,2.079441541679836,2.70805020110221,0.0,2.0,0.8626,79.2,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.88,27
content_819ff609e734,client_7f2253d7e2,0.0,0.0,LOW,0.0,keyword article,informational,3729.0,24125.0,,gemini-2.5-flash,224,20,38847,154,206,173,163,3,0,69,88,67,4776,32,36,13125,55,61,0.4,16.5,1.73,33.5,0.0,-63.6,181-365,5,0-30,3500+,15000-25000,excellent,striking,down,1,0,1,0,10.56741187441917,5.043425116919247,5.159055299214529,0.0173410404624277,1.1233766233766234,0.927,79.1,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.91,28
content_747870c01e28,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,informational,3365.0,24427.0,google,gemini-2.5-flash,139,104,3585,0,10,10,10,0,0,0,86,4,128,0,8,225,0,2,0.0,3.2,0.0,0.0,0.0,-43.1,91-180,4,91-180,2000-3500,15000-25000,good,page_1,down,1,0,1,0,8.184792654165078,0.0,2.3978952727983707,0.0,10.0,0.9099,79.1,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.9,29
content_111dcd1398da,client_6208ef0f77,0.0,0.0,LOW,0.0,keyword article,informational,6911.0,44961.0,,gemini-3-flash-preview,286,104,10907,3,94,74,74,0,0,14,88,21,2100,1,18,3204,1,7,0.03,15.6,0.0,14.89,0.0,-34.5,181-365,5,91-180,3500+,25000+,good,striking,down,1,0,1,0,9.29725174396548,1.3862943611198906,4.31748811353631,0.0,10.0,0.8554,79.0,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.88,30
content_e8a21e0ca537,client_7f2253d7e2,0.0,0.0,LOW,0.0,keyword article,informational,4029.0,25910.0,,gemini-2.5-flash,147,20,27812,77,92,77,73,5,2,40,88,49,3516,16,18,9844,29,27,0.28,14.9,6.49,43.48,2.6,-64.3,91-180,4,0-30,3500+,25000+,good,striking,down,1,0,1,0,10.233258816275091,4.356708826689592,4.356708826689592,0.0649350649350649,1.0,0.9343,79.0,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.92,31
content_5882b06e7320,client_7f2253d7e2,0.0,0.0,LOW,0.0,keyword article,informational,3658.0,23340.0,,gemini-2.5-flash,224,20,49382,88,95,83,80,1,0,42,88,44,4677,29,30,12971,25,23,0.18,5.1,1.2,44.21,0.0,-63.9,181-365,5,0-30,3500+,15000-25000,excellent,page_1,down,1,0,1,0,10.807361514395197,4.48863636973214,4.430816798843313,0.0120481927710843,0.9431818181818182,0.8776,79.0,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.89,32
content_a451a30f3920,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,informational,4028.0,28731.0,google,gemini-2.5-flash,139,104,11926,5,14,13,12,1,0,1,88,9,1471,2,8,3675,1,2,0.04,4.4,7.69,7.14,0.0,-60.0,91-180,4,91-180,3500+,25000+,good,page_1,down,1,0,1,0,9.386560016578668,1.791759469228055,2.6390573296152584,0.0769230769230769,2.6,0.8689,79.0,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.88,33
content_58304dee07c1,client_19581e27de,10.0,0.36,MEDIUM,0.0,keyword article,transactional,3925.0,28628.0,google,gemini-2.5-flash,139,104,26544,15,66,64,63,0,0,3,88,24,4119,5,45,9161,4,13,0.06,5.1,0.0,4.55,0.0,-55.0,91-180,4,91-180,3500+,25000+,good,page_1,down,1,0,0,0,10.186596685017772,2.772588722239781,4.174387269895637,0.0,4.266666666666667,0.8134,79.0,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.86,34
content_6e098546a7a2,client_19581e27de,14800.0,0.34,MEDIUM,0.55,keyword article,informational,2864.0,19072.0,google,gemini-3-flash-preview,124,104,10575,14,15,12,12,0,0,0,88,11,888,1,3,2834,1,2,0.13,1.9,0.0,0.0,0.0,-68.7,91-180,4,91-180,2000-3500,15000-25000,good,top_3,down,1,0,0,0,9.266342562091468,2.70805020110221,2.5649493574615367,0.0,0.8571428571428571,0.8683,78.9,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.88,35
content_d225ec9f3d46,client_f369cb89fc,0.0,0.0,LOW,0.0,keyword article,informational,2618.0,18025.0,google,gemini-3-flash-preview,95,20,26470,14,13,10,10,1,0,3,88,10,959,3,6,7260,4,4,0.05,0.7,10.0,23.08,0.0,-86.8,91-180,4,0-30,2000-3500,15000-25000,good,top_3,down,1,0,1,0,10.183805073124857,2.70805020110221,2.3978952727983707,0.1,0.7142857142857143,0.9082,78.9,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.9,36
content_e04eb9549989,client_3fdba35f04,0.0,0.0,LOW,0.0,keyword article,informational,1408.0,8605.0,openai,gpt-4o-mini,131,104,3393,3,7,5,5,0,0,2,88,5,152,2,1,797,1,1,0.09,3.6,0.0,28.57,0.0,-80.9,91-180,4,91-180,1000-2000,8000-15000,good,page_1,down,1,0,1,0,8.129764445794171,1.3862943611198906,1.791759469228055,0.0,1.6666666666666667,0.921,78.9,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.91,37
content_3c5020578d4f,client_19581e27de,70.0,0.12,LOW,0.86,keyword article,commercial,2591.0,19640.0,google,gemini-2.5-flash,139,104,21898,6,21,18,17,0,1,1,88,16,2367,0,5,12420,5,11,0.03,9.0,0.0,4.76,5.56,-80.9,91-180,4,91-180,2000-3500,15000-25000,good,page_1,down,1,0,0,0,9.99419625266159,1.9459101490553128,2.9444389791664403,0.0,3.0,0.8133,78.8,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.86,38
content_e5f459e737b7,client_f369cb89fc,30.0,1.0,HIGH,3.9,keyword article,transactional,2916.0,17229.0,,gemini-2.5-flash,147,20,56363,3,16,17,17,0,0,6,88,15,17485,1,8,24016,1,5,0.01,5.9,0.0,37.5,0.0,-27.2,91-180,4,0-30,2000-3500,15000-25000,excellent,page_1,down,1,0,0,0,10.939585935814996,1.3862943611198906,2.8903717578961645,0.0,5.666666666666667,0.8453,78.8,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.87,39
content_11a4f985f14d,client_f369cb89fc,0.0,0.0,LOW,0.0,keyword article,informational,2466.0,17529.0,google,gemini-3-flash-preview,95,20,17713,3,4,4,4,0,0,1,88,4,1073,0,2,6696,3,2,0.02,3.7,0.0,25.0,0.0,-84.0,91-180,4,0-30,2000-3500,15000-25000,good,page_1,down,1,0,1,0,9.782110566369528,1.3862943611198906,1.6094379124341005,0.0,1.3333333333333333,0.9011,78.8,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.9,40
content_7057416a1fd6,client_3fdba35f04,10.0,0.17,LOW,3.89,keyword article,informational,1351.0,8471.0,,gpt-4o-mini,310,104,5485,6,22,16,15,0,0,0,87,15,313,2,4,1399,1,4,0.11,4.5,0.0,0.0,0.0,-77.6,181-365,5,91-180,1000-2000,8000-15000,good,page_1,down,1,0,0,0,8.60995467149755,1.9459101490553128,2.833213344056216,0.0,2.6666666666666665,0.8978,78.8,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.9,41
content_b7bd590fe572,client_19581e27de,590.0,0.06,LOW,0.44,keyword article,commercial,0.0,0.0,,,313,104,12331,3,8,8,8,0,0,1,88,7,344,1,2,2543,1,3,0.02,2.9,0.0,12.5,0.0,-86.5,181-365,5,91-180,unknown,unknown,good,top_3,down,1,0,0,1,9.41995278900604,1.3862943611198906,2.19722457733622,0.0,2.6666666666666665,0.8397,78.7,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.87,42
content_7955a4a0e35f,client_7f2253d7e2,0.0,0.0,LOW,0.0,keyword article,informational,5181.0,35078.0,,gemini-2.5-flash,224,20,50103,184,263,224,214,3,0,89,88,79,9667,42,53,18353,77,90,0.37,6.1,1.34,33.84,0.0,-47.3,181-365,5,0-30,3500+,25000+,excellent,page_1,down,1,0,1,0,10.82185612420525,5.220355825078324,5.41610040220442,0.0133928571428571,1.2173913043478262,0.8988,78.7,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.9,43
content_252c884e4400,client_7f2253d7e2,0.0,0.0,LOW,0.0,keyword article,informational,4096.0,26872.0,,gemini-2.5-flash,147,20,22537,82,102,88,86,4,0,39,88,49,2467,5,7,7884,31,36,0.36,15.9,4.55,38.24,0.0,-68.7,91-180,4,0-30,3500+,25000+,good,striking,down,1,0,1,0,10.022958052512294,4.418840607796598,4.48863636973214,0.0454545454545454,1.0731707317073171,0.9461,78.7,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.92,44
content_e06389cec5c1,client_19581e27de,50.0,0.03,LOW,0.0,keyword article,commercial,3222.0,23181.0,google,gemini-2.5-flash,139,104,19572,2,13,11,11,0,0,0,88,8,10482,1,8,5410,1,3,0.01,7.0,0.0,0.0,0.0,93.8,91-180,4,91-180,2000-3500,15000-25000,good,page_1,up,0,0,0,0,9.881906344502523,1.0986122886681098,2.4849066497880004,0.0,5.5,0.8137,78.7,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.86,45
content_83a45875d815,client_7f2253d7e2,0.0,0.0,LOW,0.0,keyword article,informational,4454.0,29270.0,,gemini-2.5-flash,224,20,43216,128,169,134,122,2,0,69,88,63,2711,14,20,13031,47,43,0.3,9.6,1.49,40.83,0.0,-79.2,181-365,5,0-30,3500+,25000+,excellent,page_1,down,1,0,1,0,10.673989215342615,4.859812404361672,4.90527477843843,0.0149253731343283,1.046875,0.8941,78.6,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.9,46
content_18d83d6ef368,client_7f2253d7e2,0.0,0.0,LOW,0.0,keyword article,informational,2546.0,16827.0,google,gemini-3-flash-preview,106,106,8864,20,28,25,24,0,0,15,88,19,1113,5,4,3673,10,14,0.23,20.0,0.0,53.57,0.0,-69.7,91-180,4,91-180,2000-3500,15000-25000,good,page_3_5,down,1,0,1,0,9.089866218508307,3.044522437723423,3.258096538021482,0.0,1.25,0.8844,78.6,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.89,47
content_4bb993e9270e,client_6208ef0f77,0.0,0.0,LOW,0.0,keyword article,informational,5325.0,35056.0,,gemini-3-flash-preview,151,104,1986,0,4,2,2,0,0,0,77,2,28,0,0,251,0,2,0.0,1.3,0.0,0.0,0.0,-88.8,91-180,4,91-180,3500+,25000+,moderate,top_3,down,1,0,1,0,7.594381242551817,0.0,1.0986122886681098,0.0,2.0,0.9275,78.6,HIGH,OPTIMIZE,Observed Traffic Decline Risk,0.82,48
content_c2d929d83eaa,client_7f2253d7e2,0.0,0.0,LOW,0.0,keyword article,informational,4758.0,30070.0,,gemini-2.5-flash,231,193,7558,15,30,25,24,0,0,12,88,23,803,2,4,2160,5,10,0.2,17.9,0.0,40.0,0.0,-62.8,181-365,5,181+,3500+,25000+,good,striking,down,1,0,1,0,8.930494185292178,2.772588722239781,3.258096538021482,0.0,1.6666666666666667,0.808,78.6,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.85,49
content_9558f7d085c2,client_19581e27de,260.0,0.21,LOW,0.56,keyword article,transactional,3893.0,28341.0,google,gemini-2.5-flash,139,104,3123,2,3,3,3,0,0,0,87,3,205,0,1,950,0,1,0.06,2.4,0.0,0.0,0.0,-78.4,91-180,4,91-180,3500+,25000+,good,top_3,down,1,0,0,0,8.046869510959576,1.0986122886681098,1.3862943611198906,0.0,1.5,0.9144,78.6,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.91,50
content_bfe538eccd99,client_19581e27de,20.0,0.37,MEDIUM,2.93,keyword article,informational,0.0,0.0,,,153,104,14690,4,13,11,11,0,0,0,88,9,2147,0,2,4564,1,7,0.03,4.6,0.0,0.0,0.0,-53.0,91-180,4,91-180,unknown,unknown,good,page_1,down,1,0,0,1,9.594990340370426,1.6094379124341005,2.4849066497880004,0.0,2.75,0.8286,78.5,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.86,51
content_91fefd1726b3,client_3fdba35f04,0.0,0.0,LOW,0.0,keyword article,informational,1516.0,9594.0,,gpt-4o-mini,148,104,2748,2,27,22,22,0,0,8,82,9,253,0,2,916,0,1,0.07,18.7,0.0,29.63,0.0,-72.4,91-180,4,91-180,1000-2000,8000-15000,moderate,striking,down,1,0,1,0,7.918992488165245,1.0986122886681098,3.1354942159291497,0.0,10.0,0.9201,78.5,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.91,52
content_d638046e5481,client_7f2253d7e2,0.0,0.0,LOW,0.0,keyword article,navigational,3667.0,23448.0,,gemini-2.5-flash,224,20,41233,132,170,149,143,5,0,54,88,70,4452,25,29,12515,59,68,0.32,3.7,3.36,31.76,0.0,-64.4,181-365,5,0-30,3500+,15000-25000,excellent,page_1,down,1,0,1,0,10.627018437730513,4.890349128221754,5.010635294096256,0.0335570469798657,1.128787878787879,0.9024,78.5,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.9,53
